codeword,base_2,base_10
0,0000000000011,3
1,1100000000000,6144
2,0000000000101,5
3,1010000000000,5120
4,0000000000110,6
5,0110000000000,3072
6,0000000001001,9
7,1001000000000,4608
8,0000000001010,10
9,0101000000000,2560
10,0000000001100,12
11,0011000000000,1536
12,0000000010001,17
13,1000100000000,4352
14,0000000010010,18
15,0100100000000,2304
16,0000000010100,20
17,0010100000000,1280
18,0000000011000,24
19,0001100000000,768
20,0000000100001,33
21,1000010000000,4224
22,0000000100010,34
23,0100010000000,2176
24,0000000100100,36
25,0010010000000,1152
26,0000000101000,40
27,0001010000000,640
28,0000000110000,48
29,0000110000000,384
30,0000001000001,65
31,1000001000000,4160
32,0000001000010,66
33,0100001000000,2112
34,0000001000100,68
35,0010001000000,1088
36,0000001001000,72
37,0001001000000,576
38,0000001010000,80
39,0000101000000,320
40,0000001100000,96
41,0000011000000,192
42,0000010000001,129
43,1000000100000,4128
44,0000010000010,130
45,0100000100000,2080
46,0000010000100,132
47,0010000100000,1056
48,0000010001000,136
49,0001000100000,544
50,0000010010000,144
51,0000100100000,288
52,0000100000001,257
53,1000000010000,4112
54,0000100000010,258
55,0100000010000,2064
56,0000100000100,260
57,0010000010000,1040
58,0000100001000,264
59,0001000010000,528
60,0001000000001,513
61,1000000001000,4104
62,0001000000010,514
63,0100000001000,2056
64,0001000000100,516
65,0010000001000,1032
66,0010000000001,1025
67,1000000000100,4100
68,0010000000010,1026
69,0100000000100,2052
70,0100000000001,2049
71,1000000000010,4098
72,1000000000001,4097
73,0100000000010,2050
74,0010000000100,1028
75,0001000001000,520
76,0000100010000,272
77,0000010100000,160
